,borough,number_of_cyclist_injured,number_of_cyclist_killed,vehicle_type_code1,vehicle_type_code2,latitude,longitude
229,QUEENS,1,0,UNKNOWN,,40.6022727,-73.7533553
230,QUEENS,1,0,BICYCLE,,40.595912,-73.7714947
231,BRONX,1,0,BICYCLE,,40.81162,-73.93117
232,QUEENS,1,0,BICYCLE,,40.586746,-73.81712
233,BRONX,1,0,BICYCLE,,,
234,BRONX,1,0,BICYCLE,,40.81608,-73.917694
235,MANHATTAN,1,0,BICYCLE,,40.7396548,-73.9890587
236,BRONX,1,0,BICYCLE,,40.8298158,-73.8889828
237,MANHATTAN,1,0,BICYCLE,,40.79235,-73.9716
238,BRONX,1,0,BICYCLE,,40.862534,-73.89708
239,MANHATTAN,1,0,BICYCLE,,40.73201,-73.98203
240,MANHATTAN,1,0,BICYCLE,,40.720623,-73.99498
241,MANHATTAN,1,0,BICYCLE,,40.714554,-74.00717
242,BRONX,1,0,PASSENGER VEHICLE,,40.8398105,-73.8510729
243,MANHATTAN,1,0,BICYCLE,,40.78502,-73.97079
244,BRONX,1,0,BICYCLE,,40.8513185,-73.9084118
245,QUEENS,1,0,PASSENGER VEHICLE,,40.7195725,-73.7539313
246,QUEENS,1,0,,,40.7586919,-73.9114883
247,STATEN ISLAND,1,0,BICYCLE,,40.506187,-74.2349
248,STATEN ISLAND,1,0,BICYCLE,,40.634254,-74.120804
249,MANHATTAN,1,0,PASSENGER VEHICLE,,40.722355,-73.9932609
250,BROOKLYN,1,0,BICYCLE,,40.685738,-74.00237
251,BROOKLYN,1,0,BICYCLE,,40.674625,-74.00772
252,BRONX,1,0,BICYCLE,,40.8245695,-73.8390967
253,BRONX,1,0,BICYCLE,,40.81539,-73.91602
254,MANHATTAN,1,0,BICYCLE,,40.8184244,-73.9451422
255,QUEENS,1,0,BICYCLE,,40.764725,-73.92426
256,BRONX,1,0,BICYCLE,,40.8367081,-73.8441449
257,QUEENS,1,0,BICYCLE,,40.605335,-73.75528
258,MANHATTAN,1,0,BICYCLE,,40.8088424,-73.9658127
259,BRONX,1,0,BICYCLE,,40.84054,-73.87058
260,QUEENS,1,0,BICYCLE,,40.756718,-73.91422
261,BROOKLYN,1,0,BICYCLE,,40.722725,-73.94748
262,MANHATTAN,1,0,BICYCLE,,40.785294,-73.969345
263,QUEENS,1,0,BICYCLE,,40.717873,-73.846245
264,BRONX,1,0,PASSENGER VEHICLE,,40.8618642,-73.9127392
265,QUEENS,1,0,BICYCLE,,40.5822983,-73.8285417
266,BROOKLYN,1,0,BICYCLE,,40.72552,-73.9575
267,BRONX,1,0,BICYCLE,,40.825573,-73.918465
268,QUEENS,1,0,BICYCLE,,40.76967,-73.738556
269,MANHATTAN,1,0,BICYCLE,,40.77588,-73.97623
270,BRONX,1,0,BICYCLE,,40.8136218,-73.9109492
271,STATEN ISLAND,1,0,BICYCLE,,40.601856,-74.11791
272,QUEENS,1,0,BICYCLE,,40.7666,-73.89117
273,BROOKLYN,1,0,BICYCLE,,40.71515,-73.960625
274,QUEENS,1,0,PASSENGER VEHICLE,,40.7385117,-73.7028364
275,BROOKLYN,1,0,BICYCLE,,,
276,MANHATTAN,1,0,BICYCLE,,,
277,QUEENS,1,0,BICYCLE,,40.5792364,-73.8389282
278,BROOKLYN,1,0,BICYCLE,,40.649586,-74.00567
279,BROOKLYN,1,0,BICYCLE,,40.69299,-73.95583
280,BRONX,1,0,BICYCLE,,40.826027,-73.878586
281,QUEENS,0,1,BICYCLE,,,
282,BROOKLYN,1,0,SPORT UTILITY / STATION WAGON,,40.7277505,-73.9419913
283,QUEENS,1,0,BICYCLE,,,
284,BRONX,1,0,PASSENGER VEHICLE,,40.8336142,-73.860851
285,BROOKLYN,1,0,BICYCLE,,40.72427,-73.957726
286,BROOKLYN,1,0,BICYCLE,,40.663483,-73.9627
287,BRONX,1,0,PASSENGER VEHICLE,,40.832132,-73.8654615
288,BRONX,1,0,PASSENGER VEHICLE,,40.83553,-73.8631562
289,QUEENS,1,0,BICYCLE,,40.7308263,-73.9036307
290,MANHATTAN,1,0,BICYCLE,,40.7203211,-73.9940403
291,STATEN ISLAND,1,0,BICYCLE,,,
292,QUEENS,1,0,UNKNOWN,,40.7389002,-73.7337746
293,QUEENS,1,0,SPORT UTILITY / STATION WAGON,,40.7303024,-73.8108998
294,MANHATTAN,1,0,TAXI,,40.7289148,-74.0085943
295,MANHATTAN,1,0,BICYCLE,,40.7849752,-73.982638
296,BRONX,1,0,BICYCLE,,40.8689211,-73.8995293
297,BROOKLYN,1,0,BICYCLE,,40.68187,-73.955826
298,BRONX,1,0,BICYCLE,,40.85572,-73.855515
299,MANHATTAN,1,0,BICYCLE,,40.827057,-73.95202
300,QUEENS,1,0,BICYCLE,,40.7816857,-73.8450175
301,BROOKLYN,1,0,,,40.6826929,-73.9904237
302,BROOKLYN,1,0,BICYCLE,,40.675907,-73.969505
303,MANHATTAN,1,0,BICYCLE,,40.7916347,-73.9625604
304,MANHATTAN,1,0,BICYCLE,,40.7894755,-73.9573939
305,MANHATTAN,1,0,BICYCLE,,40.7143621,-74.0083868
306,MANHATTAN,1,0,BICYCLE,,40.771774,-73.96754
307,BROOKLYN,1,0,BICYCLE,,40.678543,-73.96855
308,MANHATTAN,1,0,BICYCLE,,40.781593,-73.96286
309,MANHATTAN,1,0,BICYCLE,,40.777874,-73.9517434
310,BRONX,1,0,BICYCLE,,,
311,BROOKLYN,1,0,BICYCLE,,40.6243,-74.02774
312,MANHATTAN,1,0,BICYCLE,,40.79124,-73.9794
313,QUEENS,1,0,PASSENGER VEHICLE,,40.7334612,-73.7354562
314,STATEN ISLAND,1,0,UNKNOWN,,40.6094837,-74.0842478
315,STATEN ISLAND,1,0,SPORT UTILITY / STATION WAGON,,40.6133496,-74.0655883
316,QUEENS,1,0,PASSENGER VEHICLE,,40.674924,-73.7369321
317,MANHATTAN,1,0,BICYCLE,,40.8145804,-73.9479488
318,QUEENS,1,0,BICYCLE,,40.72696,-73.846535
319,MANHATTAN,1,0,BICYCLE,,40.7838899,-73.9502838
320,BROOKLYN,1,0,BICYCLE,,40.684143,-73.999405
321,BRONX,1,0,PASSENGER VEHICLE,,40.8387216,-73.9137706
322,MANHATTAN,1,0,BICYCLE,,40.7103961,-74.0055981
323,MANHATTAN,1,0,BICYCLE,,40.72179,-73.99986
324,BRONX,1,0,BICYCLE,,40.8313358,-73.9216614
325,QUEENS,1,0,PASSENGER VEHICLE,,,
326,MANHATTAN,1,0,TAXI,,40.7717376,-73.961243
327,BROOKLYN,1,0,BICYCLE,,40.725166,-73.94958
328,BRONX,1,0,BICYCLE,,40.8311405,-73.8797696
329,BRONX,1,0,PASSENGER VEHICLE,,40.8305026,-73.86162
330,BRONX,1,0,BICYCLE,,40.84869,-73.90329
